0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
-1.0337,-0.75098,-0.79932,-1.1738,1.3853,-1.014,-1.0731,1.6372,0.74501,-1.3545,-1.1739,-0.72048,-0.99687,1.2781,-0.97515,1
-0.78736,-0.32836,-0.41593,-0.97567,0.39158,-0.64201,-0.86781,0.29214,1.6214,-0.51009,-0.97558,-0.17159,-0.78634,1.3544,-0.82709,1
-0.67384,-0.8359,-1.1528,-0.74375,0.90624,-0.30561,-0.72827,1.9004,0.8516,-0.80946,-0.74384,-0.13692,0.086014,1.664,-0.61212,1
-1.1867,-0.011588,0.44636,-1.2563,-0.060057,-1.534,-1.2218,-0.25287,-1.3142,-1.2677,-1.2562,-0.39388,-1.5195,-0.20492,-1.0868,1
-0.18235,-0.93596,0.016731,0.53807,-0.41841,0.26452,0.14657,-0.35705,-0.051373,1.1427,0.53853,1.8906,0.18042,-0.24282,-0.01842,1
-0.57996,-1.4138,-1.3682,-0.24655,1.8921,-0.23271,-0.46773,1.007,0.36704,-0.33955,-0.24606,0.35648,-0.23738,0.59586,-0.50585,1
-0.79746,-0.26295,0.27258,-0.97478,0.55908,-0.80723,-0.91656,0.33285,1.309,-0.53906,-0.97449,0.33455,-0.90884,1.0408,-0.83774,1
-0.56546,-0.15251,0.48635,-0.51284,0.89052,-0.67408,-0.48826,-0.45331,1.6713,-0.4088,-0.51244,0.84592,-0.68242,-0.51721,-0.64321,1
-0.22906,0.073793,0.019226,-0.0098006,-0.19388,0.21733,-0.20002,0.67687,0.70215,0.23128,-0.010019,0.53606,0.14063,0.68388,-0.27997,1
-0.7381,-0.50496,-0.89287,-0.73978,1.1735,-0.26198,-0.75605,1.5095,0.074663,-0.88091,-0.74079,-0.18195,0.1422,1.978,-0.63194,1
-0.49801,-0.775,0.6051,-0.28057,0.24875,-0.13989,-0.39261,-0.68576,0.64347,0.22972,-0.2801,0.31411,-0.2738,0.53849,-0.48433,1
-0.6909,-1.3396,-1.4691,-0.48459,0.84166,-0.46636,-0.57892,1.0656,1.0617,-0.29538,-0.48459,0.06859,-0.54243,0.41344,-0.65507,1
